,,Industry and Commercial,,,,,,,,,,Domestic,,,,,,,,,,Transport,,,,,,,,,,Grand total,,,,,,,,,,"Population  ('000s, mid-year estimate)",,,,,,,,,,Per Capita Emissions (t),,,,,,,,,,,,,,,,
Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,Greenwich,430.8,443.3,427.7,465.4,419.7,455.9,383.1,382.5,317.0,389.8,496.3,493.1,478.5,482.5,435.7,468.2,408.5,439.9,426.7,356.6,331.6,320.6,316.6,295.5,287.0,281.6,280.0,272.6,264.5,266.3,"1,258.7","1,256.9","1,222.9","1,243.4","1,142.4","1,205.7","1,071.6","1,094.9","1,008.2","1,012.7",230.5,234.0,236.5,239.7,243.7,249.2,255.5,260.1,264.0,268.7,5.5,5.4,5.2,5.2,4.7,4.8,4.2,4.2,3.8,3.8,,,,,,,
E09000012,Hackney,299.2,314.7,302.6,305.3,271.5,296.3,287.4,358.0,348.1,342.3,429.6,424.6,416.8,422.8,382.7,413.0,364.1,390.1,380.9,318.2,185.7,188.4,184.7,176.9,170.9,171.3,161.0,157.7,151.2,151.5,914.4,927.7,904.1,905.0,825.1,880.5,812.5,905.8,880.2,812.1,216.5,220.2,224.5,231.0,236.6,241.7,247.2,252.1,257.4,263.2,4.2,4.2,4.0,3.9,3.5,3.6,3.3,3.6,3.4,3.1,,,,,,,
E09000013,Hammersmith and Fulham,500.3,537.1,525.0,530.0,500.5,531.6,483.3,516.8,481.8,372.6,379.9,374.7,365.1,372.5,337.8,362.5,314.2,339.2,331.6,276.9,196.7,199.1,195.9,178.3,177.4,172.6,163.0,154.7,157.5,156.2,"1,076.9","1,110.9","1,086.1","1,080.8","1,015.6","1,066.7",960.6,"1,010.7",971.0,805.7,173.3,174.7,176.5,177.1,180.1,180.8,182.4,179.9,178.7,178.4,6.2,6.4,6.2,6.1,5.6,5.9,5.3,5.6,5.4,4.5,,,,,,,
E09000014,Haringey,295.5,311.1,276.4,317.3,281.7,293.5,262.5,288.4,272.0,226.0,541.4,536.9,520.2,521.1,466.0,501.2,435.4,465.1,455.3,376.3,206.8,204.5,202.0,189.7,180.3,176.6,171.5,169.0,166.6,168.5,"1,043.6","1,052.5",998.6,"1,028.1",928.1,971.4,869.4,922.5,894.0,770.8,229.3,233.2,236.8,244.5,249.8,252.7,255.5,258.9,263.4,267.5,4.6,4.5,4.2,4.2,3.7,3.8,3.4,3.6,3.4,2.9,,,,,,,
E09000015,Harrow,298.7,290.8,286.6,289.5,247.0,252.3,218.9,241.7,218.1,205.3,535.2,535.6,522.3,525.8,475.0,514.8,447.2,483.0,478.9,400.1,165.4,160.8,158.0,151.0,143.7,139.9,138.6,138.4,134.1,133.4,999.3,987.3,966.8,966.4,865.7,907.0,804.7,863.1,831.1,738.7,221.1,223.6,226.4,229.6,233.5,237.5,240.5,242.4,243.4,246.0,4.5,4.4,4.3,4.2,3.7,3.8,3.3,3.6,3.4,3.0,,,,,,,
E09000016,Havering,309.4,314.0,293.8,294.8,260.3,309.0,251.5,274.4,263.9,219.2,578.9,576.9,559.2,561.8,503.4,543.6,470.3,508.3,496.1,413.0,288.4,287.1,280.4,263.8,263.5,260.6,256.9,257.6,252.9,256.8,"1,176.7","1,178.0","1,133.4","1,120.4","1,027.2","1,113.2",978.8,"1,040.3","1,012.9",888.9,227.0,228.2,229.8,231.8,234.1,236.2,237.9,239.7,242.1,246.0,5.2,5.2,4.9,4.8,4.4,4.7,4.1,4.3,4.2,3.6,,,,,,,
E09000017,Hillingdon,"1,055.4","1,066.6",986.4,"1,110.9",920.2,905.7,729.8,926.7,874.5,659.3,586.7,587.5,571.8,577.7,521.5,561.3,490.5,531.7,523.3,436.5,544.3,530.0,519.0,499.7,490.0,481.3,470.0,467.7,468.0,466.9,"2,186.3","2,184.2","2,077.2","2,188.2","1,931.6","1,948.3","1,690.4","1,926.2","1,865.8","1,562.7",251.4,254.4,257.0,261.1,265.7,269.5,275.5,281.8,286.8,292.7,8.7,8.6,8.1,8.4,7.3,7.2,6.1,6.8,6.5,5.3,,,,,,,
E09000018,Hounslow,675.2,713.4,695.3,648.3,594.6,671.2,621.2,660.8,621.4,538.0,491.6,492.1,483.6,491.1,442.1,476.4,416.9,450.3,440.5,367.5,350.8,341.8,336.7,318.8,305.8,299.8,289.9,289.8,282.4,284.3,"1,517.7","1,547.4","1,515.5","1,458.2","1,342.5","1,447.5","1,328.0","1,400.9","1,344.3","1,189.8",223.8,228.1,233.5,237.9,243.4,249.2,254.9,259.1,262.4,265.6,6.8,6.8,6.5,6.1,5.5,5.8,5.2,5.4,5.1,4.5,,,,,,,
E09000019,Islington,629.8,676.9,655.0,680.7,605.1,644.8,557.9,632.6,576.5,459.5,404.4,399.5,391.8,398.3,361.0,386.4,335.9,363.0,352.6,293.8,150.9,149.7,148.2,140.3,135.5,132.1,127.9,125.9,121.9,123.6,"1,185.1","1,226.2","1,195.1","1,219.2","1,101.6","1,163.4","1,021.8","1,121.5","1,051.0",876.9,183.5,185.3,188.6,192.1,196.7,200.1,206.3,211.0,215.7,221.0,6.5,6.6,6.3,6.3,5.6,5.8,5.0,5.3,4.9,4.0,,,,,,,
E09000020,Kensington and Chelsea,781.6,820.8,786.2,798.8,732.6,845.8,794.0,814.0,706.3,685.2,417.2,415.6,406.3,415.7,381.2,409.9,362.4,391.0,379.3,314.7,174.3,173.5,168.8,157.9,156.1,154.2,149.8,145.3,140.6,152.3,"1,373.1","1,409.9","1,361.2","1,372.3","1,269.9","1,410.0","1,306.1","1,350.3","1,226.2","1,152.2",168.4,165.2,162.9,162.6,161.9,160.5,158.3,155.9,155.6,156.2,8.2,8.5,8.4,8.4,7.8,8.8,8.3,8.7,7.9,7.4,,,,,,,
