,,Industry and Commercial,,,,,,,,,,Domestic,,,,,,,,,,Transport,,,,,,,,,,Grand total,,,,,,,,,,"Population  ('000s, mid-year estimate)",,,,,,,,,,Per Capita Emissions (t),,,,,,,,,,,,,,,,
Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"150,143.0","150,486.1","144,804.8","142,166.5","124,628.8","133,732.8","118,814.7","128,274.8","123,774.0","106,424.2","126,896.3","126,754.9","122,774.8","123,157.6","111,284.6","119,575.3","104,258.7","112,171.1","109,259.9","91,410.9","87,540.3","86,570.8","87,168.7","83,753.4","81,055.0","79,994.6","78,500.5","77,380.3","76,373.2","77,614.3","364,579.6","363,811.9","354,748.3","349,077.4","316,968.4","333,302.7","301,573.8","317,826.2","309,407.1","275,449.4","50,606.0","50,965.2","51,381.1","51,815.9","52,196.4","52,642.5","53,107.2","53,493.7","53,865.8","54,316.6",7.2,7.1,6.9,6.7,6.1,6.3,5.7,5.9,5.7,5.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,"6,053.5","6,108.5","6,258.7","5,982.6","5,578.9","5,900.7","5,537.7","5,550.0","5,567.1","5,214.6","4,393.8","4,695.1","4,490.3","4,661.4","4,533.6","4,953.2","4,184.8","4,384.8","4,516.6","3,944.7","4,160.9","4,211.9","4,296.3","4,130.9","4,069.7","3,973.3","3,897.8","3,817.1","3,779.0","3,766.0","14,608.2","15,015.6","15,045.3","14,774.9","14,182.2","14,827.2","13,620.3","13,752.0","13,862.8","12,925.3","1,727.7","1,743.1","1,761.7","1,779.2","1,793.3","1,804.8","1,814.3","1,823.6","1,829.7","1,840.5",8.5,8.6,8.5,8.3,7.9,8.2,7.5,7.5,7.6,7.0,,,,,,,
S92000003,Scotland,"16,966.3","17,095.4","16,894.0","16,574.2","14,272.8","15,681.2","14,161.3","14,811.7","14,196.5","11,832.9","14,474.4","14,524.9","14,165.3","14,270.0","12,874.4","13,725.8","12,001.3","12,786.5","12,315.9","10,355.4","9,355.4","9,391.2","9,504.8","9,152.5","8,910.2","8,825.8","8,620.1","8,478.0","8,406.6","8,532.6","40,796.1","41,011.4","40,564.1","39,996.7","36,057.4","38,232.8","34,782.6","36,076.2","34,919.0","30,721.0","5,110.2","5,133.1","5,170.0","5,202.9","5,231.9","5,262.2","5,299.9","5,313.6","5,327.7","5,347.6",8.0,8.0,7.8,7.7,6.9,7.3,6.6,6.8,6.6,5.7,,,,,,,
W92000004,Wales,"10,995.3","10,903.0","10,356.9","10,107.4","8,879.0","9,195.4","8,199.5","8,723.7","8,529.6","7,806.4","7,852.0","7,937.0","7,526.1","7,700.2","6,984.2","7,481.9","6,457.1","6,885.8","6,719.9","5,646.3","5,713.3","5,737.7","5,818.8","5,615.3","5,453.7","5,380.1","5,265.5","5,190.0","5,146.4","5,208.0","24,560.6","24,577.6","23,701.8","23,422.9","21,316.9","22,057.3","19,922.2","20,799.5","20,395.9","18,660.8","2,969.3","2,985.7","3,006.3","3,025.9","3,038.9","3,050.0","3,063.8","3,074.1","3,082.4","3,092.0",8.3,8.2,7.9,7.7,7.0,7.2,6.5,6.8,6.6,6.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,"190,363.7","189,569.7","183,838.1","180,289.6","158,689.1","169,048.7","150,302.0","162,826.3","156,594.6","138,255.6","153,731.0","153,995.6","149,124.7","149,954.8","135,913.4","146,011.1","127,141.9","136,485.2","133,044.6","111,987.4","106,769.9","105,911.6","106,788.7","102,652.1","99,488.5","98,173.7","96,283.9","94,865.4","93,705.2","95,121.0","450,864.6","449,476.9","439,751.4","432,896.5","394,091.0","413,233.6","373,727.7","394,176.9","383,344.4","345,363.9","60,413.3","60,827.1","61,319.1","61,823.8","62,260.5","62,759.5","63,285.1","63,705.0","64,105.7","64,596.8",7.5,7.4,7.2,7.0,6.3,6.6,5.9,6.2,6.0,5.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
